feature_set,n_estimators,contamination,max_samples,min_cluster_size,min_samples,precision,recall,f1,tn,fp,fn,tp,detected_anomalies,number_of_clusters,noise_entities
engineered,200,0.05,sqrt,10,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.05,sqrt,15,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.05,sqrt,20,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.05,sqrt,30,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.08,sqrt,10,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.08,sqrt,15,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.08,sqrt,20,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.08,sqrt,30,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.1,sqrt,10,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.1,sqrt,15,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.1,sqrt,20,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.1,sqrt,30,15,0.975609756097561,0.5,0.6611570247933884,60,1,40,40,37,2,7
engineered,200,0.03,sqrt,20,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.03,sqrt,30,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.05,sqrt,20,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.05,sqrt,30,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.08,sqrt,20,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.08,sqrt,30,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.1,sqrt,20,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.1,sqrt,30,10,0.975,0.4875,0.65,60,1,41,39,37,2,6
engineered,200,0.03,sqrt,20,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.03,sqrt,30,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.05,sqrt,20,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.05,sqrt,30,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.08,sqrt,20,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.08,sqrt,30,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.1,sqrt,20,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,200,0.1,sqrt,30,5,0.9743589743589743,0.475,0.6386554621848739,60,1,42,38,37,2,5
engineered,100,0.03,sqrt,10,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.03,sqrt,15,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.03,sqrt,20,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.03,sqrt,30,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.05,sqrt,10,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.05,sqrt,15,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.05,sqrt,20,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.05,sqrt,30,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.08,sqrt,10,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.08,sqrt,15,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.08,sqrt,20,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.08,sqrt,30,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.1,sqrt,10,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.1,sqrt,15,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.1,sqrt,20,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,100,0.1,sqrt,30,15,1.0,0.4625,0.6324786324786325,61,0,43,37,33,2,7
engineered,300,0.03,sqrt,10,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.03,sqrt,15,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.03,sqrt,20,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.03,sqrt,30,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.05,sqrt,10,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.05,sqrt,15,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.05,sqrt,20,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.05,sqrt,30,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.08,sqrt,10,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.08,sqrt,15,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.08,sqrt,20,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.08,sqrt,30,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.1,sqrt,10,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.1,sqrt,15,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.1,sqrt,20,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,300,0.1,sqrt,30,15,0.9736842105263158,0.4625,0.6271186440677966,60,1,43,37,34,2,7
engineered,100,0.03,sqrt,20,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.03,sqrt,30,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.05,sqrt,20,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.05,sqrt,30,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.08,sqrt,20,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.08,sqrt,30,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.1,sqrt,20,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,100,0.1,sqrt,30,10,1.0,0.45,0.6206896551724138,61,0,44,36,33,2,6
engineered,300,0.03,sqrt,20,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.03,sqrt,30,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.05,sqrt,20,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.05,sqrt,30,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.08,sqrt,20,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.08,sqrt,30,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.1,sqrt,20,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,300,0.1,sqrt,30,10,0.972972972972973,0.45,0.6153846153846154,60,1,44,36,34,2,6
engineered,100,0.03,sqrt,20,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.03,sqrt,30,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.05,sqrt,20,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.05,sqrt,30,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.08,sqrt,20,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.08,sqrt,30,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.1,sqrt,20,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,100,0.1,sqrt,30,5,1.0,0.4375,0.6086956521739131,61,0,45,35,33,2,5
engineered,300,0.03,sqrt,20,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.03,sqrt,30,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.05,sqrt,20,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.05,sqrt,30,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.08,sqrt,20,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.08,sqrt,30,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.1,sqrt,20,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,300,0.1,sqrt,30,5,0.9722222222222222,0.4375,0.603448275862069,60,1,45,35,34,2,5
engineered,100,0.03,0.7,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.03,0.7,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.03,0.7,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,0.7,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.03,0.7,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.03,0.7,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,0.7,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.03,0.7,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.03,0.7,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,0.7,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.03,0.7,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.03,0.7,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.03,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.03,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.03,1.0,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.03,1.0,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,1.0,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.03,1.0,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.03,1.0,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.03,1.0,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.03,1.0,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.03,1.0,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,0.7,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.05,0.7,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.05,0.7,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,0.7,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.05,0.7,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.05,0.7,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,0.7,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.05,0.7,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.05,0.7,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,0.7,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.05,0.7,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.05,0.7,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.05,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.05,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.05,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
